model,att,se_att,t,df,p_value,stars,type,area,aqs_id_full,week,month,spec
nyc1,-1.7618204083099511,0.029967013352843352,-58.7919919668199,148,0,***,per_sensor,NA,840999999998,NA,NA,1
nyc1,-1.750705014884796,0.02945403427304853,-59.43854748912112,148,0,***,per_sensor,NA,840999999999,NA,NA,1
nyc1,-1.9942205097305283,0.028277079375841226,-70.52427456260948,115,0,***,per_week,NA,NA,1,NA,1
nyc1,-3.0588000325341005,0.026864817614297137,-113.85895398397358,202,0,***,per_week,NA,NA,2,NA,1
nyc1,-3.105452526585561,0.02912409472116033,-106.62829373128193,202,0,***,per_week,NA,NA,3,NA,1
nyc1,-3.278009269126058,0.03123469576357704,-104.94769322992937,202,0,***,per_week,NA,NA,4,NA,1
nyc1,-2.85015618897644,0.02875892409375063,-99.1051048949284,202,0,***,per_week,NA,NA,5,NA,1
nyc1,-2.3972806517145386,0.024765052004848444,-96.80095366830663,202,0,***,per_week,NA,NA,6,NA,1
nyc1,-2.292246712039625,0.024989540475511687,-91.72824583492822,202,0,***,per_week,NA,NA,7,NA,1
nyc1,-2.1150891627026054,0.024633745418759765,-85.86145252162363,202,0,***,per_week,NA,NA,8,NA,1
nyc1,-2.100042386291847,0.024611788322724697,-85.32668812013242,202,0,***,per_week,NA,NA,9,NA,1
nyc1,-1.7678042333358626,0.021995686627696635,-80.37049550932728,202,0,***,per_week,NA,NA,10,NA,1
nyc1,-1.7841322878452133,0.023171018473363933,-76.99844052587282,202,0,***,per_week,NA,NA,11,NA,1
nyc1,-1.525748543096866,0.021571633594929043,-70.72939267128716,202,0,***,per_week,NA,NA,12,NA,1
nyc1,-1.6241895912296502,0.025622622690242722,-63.38888921968762,202,0,***,per_week,NA,NA,13,NA,1
nyc1,-1.3146050134601936,0.021784510464913656,-60.34585976019563,202,0,***,per_week,NA,NA,14,NA,1
nyc1,-1.1889393223901938,0.021977278205165224,-54.09856995443424,202,0,***,per_week,NA,NA,15,NA,1
nyc1,-1.194867435393495,0.025688803316078916,-46.513160644023216,202,0,***,per_week,NA,NA,16,NA,1
nyc1,-1.041049894303346,0.024157270833393196,-43.094681575713295,202,0,***,per_week,NA,NA,17,NA,1
nyc1,-0.9730870020319359,0.02612975124548335,-37.24057657074476,202,0,***,per_week,NA,NA,18,NA,1
nyc1,-0.7580635570602475,0.02438509862230719,-31.087163878303134,202,0,***,per_week,NA,NA,19,NA,1
nyc1,-0.60622292009607,0.02352445829429641,-25.76989924750152,202,0,***,per_week,NA,NA,20,NA,1
nyc1,-0.4049706943444053,0.019847054117885978,-20.404574499519782,202,0,***,per_week,NA,NA,21,NA,1
nyc1,-0.3769327580106095,0.030688155197618503,-12.28267895490377,144,0,***,per_week,NA,NA,22,NA,1
nyc1,-2.9489926420774664,0.014010927347038415,-210.478048242882,811,0,***,per_month,NA,NA,NA,1,1
nyc1,-2.356507425215553,0.01282830925064375,-183.6958697497333,811,0,***,per_month,NA,NA,NA,2,1
nyc1,-1.721776560416662,0.011036132151378065,-156.0126806022041,898,0,***,per_month,NA,NA,NA,3,1
